doc_id,clean_text,Sentiment
85,"One again the studio brings jokes and the dazzling visuals over a good character development. After one hour, you don't care for the characters. Dysfunctional drama in the family and the chosen one - we have seen this a million times.

This is the first time I felt sleepy for an action movie. I feel like i wasted my money, despite availing the Super Tuesday offer. The Suicide Squad was far much better in terms of storyboard.

Over-rated, like Black Panther What's next - Shang-Chi: Origins?",negative
86,,positive
87,,positive
88,,positive
89,Without a doubt the best action sequences in a marvel film and the best action scenes too. One of the best marvel films also. A great story and great acting. Loved this film.,positive
90,"Shang-Chi and the Legend of the Ten Rings is a new superhero movie in the Marvel film series. The film is directed and written in part by Destin Daniel Cretton, the director of Short Term 12 and Just Mercy.

The film is about Shaun (Simu Liu), who tries to put his past behind him and just wants to enjoy his life with his best friend Katy (Awkwafina). When the mysterious organization the Ten Rings finds Shaun, he is forced to confront his past after all. To do this, he must take his birth name Shang-Chi again, to protect Katy and his sister Xialing (Meng'er Zhang) from the actions of the Ten Rings and their leader Xu WenWu the Mandarin (Tony Chiu-Wai Leung) who is also Shaun. His father.

This film is Marvel's first superhero film starring an Asian actor. Furthermore, with this film they also bring out the Asian culture and fighting styles well. For this they have used other movies like Crouching Tiger, Hidden Dragon as an example. Fans of this film can recognize moments that refer back to these films. They portray the fight scenes where characters fight each other with Asian fighting styles well and entertainingly. The art of the Asian fighting style is somewhat overshadowed when characters use more supernatural powers in the film. Fight scenes where this happens are less exciting and entertaining than scenes where characters fight each other in more normal ways.

At one point, the film also feels like you're watching a live-action mix of the Asian animation shows Pokémon and Avatar: The Last Airbender. These scenes provide some extra comedy and are especially more entertaining for younger viewers. The movies and costumes of the film cast also help with the emergence of Asian culture in the film. The visual effects are also put to good use in the film. Except for a few scenes, it can be seen that they have used a green screen for the background, but fortunately this is not disturbing in the film. Creatures can also be returned before the start of the film. A bit redundant on a few action scenes with 3D effects in the film.

The acting is well done by the film cast. Simu Liu took to Twitter to ask Marvel to play the part, with both parties quickly making a good deal. Simu Liu comes across as good and charismatic as the lead of the film and further conveys the action sequences beautifully. Along with Awkwafina, he also has good chemistry in the film and together provide good appropriate humor. The comedy also doesn't overshadow all the dramatic aspects in the film, which sometimes does happen. Tony Chiu-Wai Leung also portrays the villain of the film in a good and sympathetic way, so that as a viewer you understand why he does what he is doing to me. This film is also only his first English-language role in an American film. Although this is only his first time, he still delivers good and appropriate acting. Meng'er Zhang does not get that much time in the film, but a bit less good or present in the film.",positive
91,Good entertaining and Bollywood like. It is loaded with action. Preferably watch on the biggest screen available.,positive
92,"Let's agree that it is a bad movie from multiple points of view. It depends a lot on the visual effects, its main characters can be funny but not nice, the story does not generate much interest and we have seen the fights many times and in a better way in almost any film produced in Hong Kong, Indonesia or Thailand of the last twenty years. The only thing that saves this film is the karaoke scene that is unexpectedly welcome. The rest is routine, mediocre, tiring and bland.",negative
93,"I thought this film was a good break from the usual marvel super hero films, it was much more traditional martial arts film combined with some modern aspects.

The concept was good and the film went along at a great pace. There was some good humour as well.

I would really recommend it.",positive
94,"When the movie first started... I felt like I was watching a ""foreign"" film. No English just Chinese with English subtitle? Didn't know what to expect in this movie. Then later on, the casts started speaking English & the awesome fighting scenes kicked in. OMG!! How exciting~ The fighting choreography was unbelievable. Just as good as Jackie Chan movies!

The storyline was alright but the CG was very good. They used lots of Chinese culture tradition, costume & symbols. Looking forward to see the next sequel.",negative
95,"""Shang-Chi and the Legend of the Ten Rings"" follows the same formula that's presented to audiences in any typical Marvel film; with that said, ""Shang-Chi"" gives you exactly what you expect, for better or for worse. There are no tricks up this movie's sleeve - there are no surprises. This film delivers a standard, well-executed superhero film, and whether or not you enjoy that will be completely up to you.

I, for one, am sick of the standard Marvel setup; I admit I have superhero fatigue, and unfortunately, ""Shang-Chi"" follows that typical superhero setup to a T - what that means is an extremely bland film both in character and plot, with only a few sparks of light along that tease a more compelling movie. The best parts of ""Shang-Chi"" involve Tony Chiu-Wai Leung; he plays a surprisingly complex and sympathetic villain and stars in some scenes that echoed the badassery of Asian gangster flicks. One scene where he takes out a room full of villains was so intense that I wish the movie would've followed that plot line instead of the subpar narrative we were left with. So, yes, Tony is great - everything else in ""Shang-Chi"" is mediocre, including the titular hero.

Iron-Man. Spider-Man. Black Widow. The Hulk. Dr. Strange. These are all Marvel superheroes that you can immediately picture because of their distinctiveness as characters. Black Widow is the sexy, badass assassin. Spider-Man is the naive but pure hearted schoolboy. Iron-Man is the cocky billionaire. Shang-Chi? He's the, um, actually, who is he? That's exactly what you'll be asking yourself because Shang-Chi barely has a personality in this film - his character is so dull and forgettable. And me saying that is in no way a slight to Simu Liu, because he's fine in the role; it's the script that does him no favors. When it comes to other characters, Awkwafina was in this movie, and I honestly was excited to see her in this because of how good she was in ""The Farewell."" And wow, my excitement was led astray because she was about as fun and entertaining as a prostate exam. I mean, sweet Jesus, she was so grating that I considered stuffing popcorn into my ears so I didn't have to listen to her speak anymore. Her jokes weren't funny, her dialogue was awful (I'm sure most of it was improvised), and her character was just plain annoying.

""Shang-Chi"" was also a very boring film, stuffed with poor dialogue and loads of exposition that had me nodding off in the theatre. A lot of lines were so cheesy, and so poorly delivered, that I found myself rolling my eyes. ""Shang-Chi"" also has the same amount of bland, uncreative editing and filming that is present in a lot of Marvel films - characters walk from room to room, and talk about this subject and that subject. It's not fun, it's not entertaining, and let's face it, it's horrendously boring. But okay, you're willing to look past that if the action is good, I get it! So how was the action?

The first act of this movie does have two good action sequences, and you've seen them both in the trailer - the bus fight, and the scaffolding fight. I hope you're not that big a fan of Kung-Fu, because after those two fights, you will no longer get well-choreographed action and will instead be treated to horrific CGI battles. I'm talking ring-on-ring action and unnecessary giant monster fights that had no place or purpose in this movie. And it's all boring to watch. I mean, you have basically the first ever Kung-Fu superhero movie, and you decide to only include two scenes of Kung-Fu? What were the creators thinking?

""Shang-Chi and the Legend of the Ten Rings"" was an exercise in disappointment. Instead of attempting to do something different, the film does exactly what you'd expect. And hey, if you love these kind of movies, you'll most likely love this film, and that's great - I hope you do. But if you're at all tired by the exact same formula that all superhero movies follow, ""Shang-Chi"" won't manage to lull you out of your superhero fatigue.",negative
96,"It's good action movie. Firstly, the scenario is pretty good, but it has nothing special, it's a little bit predictable. Secondly, the cast is awesome, I really like Akwafina in her role, she is very funny. Also I like Simu Lu as main character he is charismatic person. But my favourite is one character from past film of MCU (don't want to give spoiler). Thirdly, I like how the atmosphere of ancient Chinese culture was shown, but for me I want more. Fourthly, the fighting is good too.

So, it's nice MCU film.",neutral
97,"Marvel has supplied their fans with a fast, fresh and funny superhero adventure with unconditionally perfect amounts of exhilarating action and fascinating characters. The enthusiasm noticeably kicks off with sustainable writing, in which an appealing plot is arranged and the excellent protagonists are propped. Secondly, director Destin Daniel Cretton recieves the role of brilliantly executing the visually-awakening tale.

There's no doubt that the real magic belongs to the epic sequences of fantastical action. With stylish martial arts battles and superb effects, Shang-Chi's epic movie lives up to both the hype and its genre. However, there are some ridiculous and unnecessary details. It's also significant to announce the fact that the amount of action is perfect! There's not too much to the point where it's tedious and not too less to the point where all that can be remembered is the dialogue.

Marvel flicks usually include several moments of bland dialogue between the superheroes. It occasionally grows fairly unexciting, but most of it is surprisingly gripping and the entertaining adventure rules over it. Alongside the massively-praised action is humour and heart-pumping credits scenes.

If you liked this review, check out the full review and other reviews at aussieboyreviews.",neutral
98,"As with all Marvel movies, the ending tries so hard to be enormous that it becomes visually impossible to comprehend. I would like it if just one of these superhero movies had a character think and talk their way out of a threat to humanity. Nevertheless, this is one of the better attempts... Primarily because it is a well acted origin story with a minimal amount of heart and soul. Be thankful for small mercies!",positive
99,"Let me preface this by saying that my enjoyment of the movie may have been dampered by a poor night's sleep. That being said, the middle 45 minutes of this film had me nearly falling asleep, literally. The character development just couldn't hook me at all because it felt like they kept revisiting the same points.

On a positive note, the visuals and martial arts are absolutely spectacular. The first act of the film contains most of the martial arts and it is so crisp and well-choreographed. The final act flexes all of the CGI dollas and they make they already big budget stretch far, with some of the more impressive sights you will see in a Marvel movie so far. This movie didn't quite hit the 8/10 for me to recommend people see it in theatres, but lets tack that up to me being tired and you go see it anyway!",negative
100,"Marvel has not done much good lately. 2 horrible TV shows, and 1 bad TV show. Not a single good movie since Captain Marvel, and nothing seemingly good coming over the horizon.

To be honest I have started to give up. Marvel have produced magnificent movies and great entertainment for many years, but lately it is like that magic has come off and they seem much more run of the mill basic with that, by now, boring Marvel feel. Marvel has tried to introduce more political correctness, more feminism, and more nonsense diversity, and it has all failed.

This movie however is not a failure.

Why?

This movie is simple, it is to the point, it follows tropes, cliches, and it is a classic heroes journey - which is exactly why it works!

Marvel took a classical story we all heard, read and seen before but they switched a few things around, kept some of that Marvel feel, and made it play out mainly in China and almost only with Chinese actors. And it works!

Imagine that? Sure you can find some political nonsense if you look hard enough, but who cares when you have great fight scenes, lovely sceneries, a great (but basic) story and brilliant well written characters.

We even get a villain that you understand, sympathise with and even feel a sting of ""ah, too bad"" about him.

This is how you make an action movie! Great stuff Marvel!

The points I deduct is due to the movie not being that amazing. They pull the heroes journey of sure, but we have also seen it done better. Sound is great, but not amazing, directing is great, but not amazing, etc. Etc. Everything about this movie is high class, greatly done, and well performed, but it is not on top, it is not amazing nor perfect.

I also have a few objections about the background story and the ending, but I am keeping this spoiler free so...

8/10. This is a great movie and highly entertaining, and definitely worth the ticket price. Go see and get your faith in Marvel restored.",negative
101,"Let me commence by saying this movie is by far one of the most-fun, action packed Marvel movies ever!

Simu Liu is the perfect Marvel protagonist, and Awkwafina delivers the obligatory yet welcomed dose of humor you'd come to expect from a Marvel presentation.

But beyond that this movie is rich with mythology, adventure, and incredible martial arts combat that cannot be described with another phrase other than breathtaking, to be the introduction of a new character the story is well-written and you feel as if he had been with us from the start,

I give this move the 10 it deserves, In Marvel We Trust.",neutral
102,,positive
103,"I'm not someone who is a fan of action movies. I'm really not. But even here, there's no denying the action sequences are brilliantly executed and have a lot more of a hit than most of the marvel movies out there.

Although Simu Liu falters a little bit as a leading man, he has a truly impressive cast to support him. Awkwafina is brilliantly funny and quippy as she always is. And Tony Leung, the complex antagonist and the hero's father, has the most depth in this film.

The visual effects are beyond beautiful. They reminded me of Ferngully, and the nature I observed as a child. Good stuff!

There are some surprising cameos that are both hilarious and wholesome.

It was so good to see it in Imax after such a long cinema hiatus. Definitely check this one out!",negative
104,"After a disappointing Marvel entry with Black Widow, Shang-Chi is the return to form movie Marvel needed to bounce back off on. With solid performances, great setpieces, fun action sequences, and some emotional depth and humour to it, it's the type of film you need to see on the big screen and just go along with the journey and fantastical elements. It's also paced well and intriguing for the runtime it has.

The direction is solid and the characters get a good amount of screen time each to develop and have well placed flashback sequences. The martial arts fights are pretty well done and the CGI creatures look interesting with their designs and have good special effects. Overall, it's very well done and I didn't think Marvel could keep going, but they proved they can still make great stuff when they care about it.

8/10.",positive
105,"The much-awaited Shangi Chi and the Legend of the Ten Rings released today in theatres. It follows the journey of Shang Chi (Simu Liu), the son of the famed MCU villain the Mandarin, who revolts against his father to fight evil.

The first stand-alone film featuring an Asian American superhero, Shang Chi understandably stands out with its close combat sequences. All the actors and especially Simu Liu have undergone extensive martial arts training and it shows, with a sensational sequence on a moving bus in San Francisco and another on a bamboo scaffolding in Macau, the standouts.

Awkwafina and a surprise returning character from the MCU provide genuine, sarcasm-laced comedy that adds another wonderful layer to the experience. Cameos from Benedict Wong and Ronnie Chieng also manage to leave the audience in spits.

Without stooping to cultural appropriation, with an all-Asian crew, director Destin Daniel Cretton pays rich tribute to Chinese heritage at every turn. Hong Kong's superstars Tony Leung and Michelle Yeoh are electric in their roles and the fact that they don't seem to have lost a step with age, acing their action sequences, shows their dedication as performers.

Regarded as one of the finest actor's Chinese cinema has every produced, Tony Leung stamps his class all over the film, giving an engrossing, captivating performance as the dreaded leader of the Ten Rings.

His inner moral dilemmas and love/hate relationship with his children are portrayed brilliantly by the man nicknamed 'Small Tiger' among the Five Tiger Generals of Hong Kong Cinema

The flashback sequences help to build up Shang Chi as a character and intricately captures his upbringing as the heir-apparent to a genocidal megalomaniac, and how despite wanting nothing to do with his father's murderous tendencies, as his son, he is inadvertently drawn to the Mandarin's world of violence and carnage.

The films delves into mystical elements towards the climax and with two surprise-laden post-credit sequences tie into both Doctor Strange's world of Mystic Arts as well as a possible connection that the Ten Rings has to alien technology.

As always, the way weaves in each individual fim character to the wonderful tapestry that makes up each of its Phases is a joy in itself.

It is due to the well-written characters and the nuanced acting of its performers that Shang Chi stands out while the eye-catching CGI and elaborately chorographer action sequences add more gloss to the end product.

Another wonderful new addition to the MCU world and hopefully this paves the way for more ethnicities being represented in the universe as time goes on.

Highly recommended. A must watch. Marvel's Phase 4 continues to raise the bar!",positive
106,"Like many, I was concerned that this new Marvel Cinematic Universe saga would have trouble living up to previous standards but Shang-Chi has already left me hopeful for the series' future. I literally know nothing about this character but I found his film debut to be a solid superhero adventure; well acted, effectively character-driven, occasionally funny, rich with cultural representation and booming with swift and stylized martial arts action. It has what I hoped I was going to get from Black Panther: inclusivity AND an interesting world and narrative. I'm 100% all for representation but the story and characters must be pronounced, too and I just found this entry to be a lot more distinguished and captivating.

Although Shang-Chi treads the familiar origin story formula, there's a few fresh twists and turns that uniquely sets this character's journey apart from the others. Though the first half is decently entertaining with some identifiable drama and fast-paced yet slightly derivative set-pieces in urban environments, the second half is where the film really turns on (at least for me). The Chinese philosophy kicks in, the mythology is abundant, there's tons of visually striking imagery, a fantastical setting, loads of insane action choreography. The Asian representation is just off the chain and I was so enraptured by it. It doesn't feel contrived, I sensed a great deal of respect for it and all the while an engaging story was unfolding. A nice balance. I was very satisfied with what I saw. I'm really looking forward to seeing more of Shang-Chi's world and how it'll tie in with other stories yet-to-come. Very cool movie. Soulful, cultural and action-packed.",negative
107,"I was really looking forward to this film, and was excited to see shang chi in the MCU. It started out good with an interesting father, and son character development. As the film continued, it seemed to rely very heavily on the CGI. After a while all the CGI felt bloated and overwhelming. The acting was well done, by everyone in the film no weak links. Was hoping this film, would have had a more grounded plot like Iron Man.",positive
108,,positive
109,"Wow! Another Marvel film. YaY! I'm not sure what I watched, but I know I've seen it at least 50 times before. Boring and cliche Superhero Plot, cheesy dialogue, dull acting. Been There, Seen That Special Effects.

I'm not sure when Disney is going to figure out how to make good films again. But when ones like this continue to rake in cash at the box office, we'll be inundated with them forever. And that's the real shame.",negative
110,"Twelve year old me loved this movie. It is big, bold, colourful, action packed, fun, funny, and has flying dragons. Cranky codger me says no to flying dragons. Sorry to any preteens peeking in (highly unlikely), flying dragons are a silly figment of someone's imagination. A movie with flying dragons is difficult to take seriously. Sorry kids. There is also some shocking news about Santa Clause, but let's save that for another day.

The good news here: Marvel again steps up to the plate in their inclusivity transformation of what movie making can and should be. They also manage to keep the rest of their superhero Universe from ruining what is a pretty good martial arts film by inserting the briefest of brief Marvel cameos to keep the all important story arc threaded. As usual for the studio, the supporting cast is pretty sweet. Ben Kingsley with a Ringo accent absolutely slays. Ronnie Chieng in a brief but outrageous cameo absolutely slays. Awkwafina in a major cameo absolutely slays. Tony Leung as the dark father and ring master absolutely slays, slays a lot.

The bad news: let's face facts, it may not be possible to make a good martial arts movie. Just when things get interesting we get a fight sequence where combatants, while absorbing what should be lethal blows, magically fly backwards unscathed. Zero gravity time baby! Why is this a thing? Used to be done with wires, so very obvious, and oddly enough, even with CGI at the ready, we still get that bizarre old school wire look. Homage has its limits. And lastly and most sadly the rousing cast of secondary characters pretty well squeezes Simu Liu into a not so main character role. Kinda forgettable if truth be told. That's a problem. A big problem.

The really cool highlights in ""Shang-Chi"", like the morphing forest maze, are a series of disconnected sequences that seem parachuted in, not integral to the story. As is often the case in the Marvel Universe, someone in the art department went a little crazy. With ""Black Panther"" it was the robot rhinos, and here it is a bizarre shimmering, sequinned horse hybrid (a hornless unicorn, so a nocorn?). Oh and then there are the cute furry, winged animals (get ready for the Xmas plush toy stampede) who somehow survive without any orifices. No really: nothing goes in, nothing goes out, and yet it survives, and also communicates!

Shame about all these niggling details, but they do ruin what could be a grand cinematic experience, an epic of epic proportions, though relentlessly formulaic, a family affair that nicks Shakespearian conflict, culminating with volcanic battle scenes of archery, catapults, swords, and uh, oh yeah, flying dragons.

The Marvel Universe is making strides, especially with the dark and moody ""Black Widow"", and the hilariously over the top, potty-mouthed ""Deadpool"". ""Shang-Chi"" is a heroic stray away from the usual masked heroes in tights genre, but it just needs less than more. A lot less. Chop chop.

Twelve year olds rejoice!",negative
111,"The action and camera work in particular, along with the cast were very impressive! What I didn't like about it though were just a couple of throw-away nuisance characters and some of the weird humor. Other than that, I'd say it's worth a watch! Plus, it was good seeing some old Marvel faces!",neutral
112,,positive
113,"A very welcomed addition to the MCU, and any Avengers to come. 'Shang-Chi' kung-fu's it's way to top tier MCU territory, especially when it comes to origin stories.

Perhaps this generations 'Crouching Tiger, Hidden Dragon', both of which are visual spectacles to behold. 'Shang-Chi' is full of beautiful creatures, costumes, martial arts, and acting. Probably the best fighting in the MCU, which makes sense (though Cap and Winter Soldier fighting is my personal favourite). The real Mandarin makes his debut and does not disappoint, Tony Chiu-Wai Leung was fantastic. All the other cast members were very likable as well. A few appearances from other MCU characters, including a surprising one that somewhat redeems himself.

A refreshing Marvel superhero movie in that it primarily focuses on itself, but has tons of potential to jump right in with other Marvel storylines. The MCU still holds lots of excitement for the future with characters like Shang-Chi.",negative
114,"For nearly ten years after its inception, the Marvel Cinematic Universe was dominated by the adventures of white men. Scarlett Johansson's Black Widow had to fight to get her own film this year, while her male co-stars got entire trilogies . ""Black Panther"" reinvigorated the franchise with its celebration of African culture in 2018, proving that the Marvel brand didn't have to be so beige. ""Captain Marvel"" became the first MCU film to be fronted by a woman. Now, ""Shang-Chi and the Legend of the Ten Rings"" marks the first Asian-led film. Not only does the film feature the first Asian protagonist, it also features a predominantly Asian cast and crew, which, thankfully, give this franchise a much needed change in perspective.

The Ten Rings have been around for nearly a thousand years, gifting their wearer, Wenwu, immortality so that he may rule with unmatched strength. After centuries of building an empire out of blood, Wenwu was turned away from a life of violence by Ying Li, a guardian of the mystical land of Ta Lo. When heartbreak struck shortly after, Wenwu picked up the rings once again, causing him to go down a dark path, and his son, Shang-Chi, to run away to the United States. Now after ten years, the son must come home to confront his father and become who he was truly meant to be.

Similar to what Ryan Coogler was able to do with ""Black Panther"", co-writer/director Destin Daniel Cretton brings out the best of this new world as he is able to handle the mountains of establishing exposition. His use of flashbacks may be a bit liberal, especially as the film reaches its climax, but they're used meaningfully to build upon a story focused on character and culture.

Without a leading acting credit to his name, Simu Liu takes the titular role by storm as he navigates this typical hero's journey with charm and composure. Mixing a bit of T'Challa with Tony Stark, Shang-Chi is a hero battling with his past and future. Liu and Cretton strike a great balance as Liu hands himself over to Cretton's material in the somber moments, and Cretton lets Liu's comedic instincts light up the room.

Veteran Tony Leung brings the same melancholic energy to Wenwu as he did in his roles with Wong Kar-wai, particularly his work in ""In the Mood for Love."" Leung layers this villain and distances him from the average world dominator. He carries a stillness about him that inspires fear and compassion, two things that have made some of the greatest villains.

The overall narrative within a Marvel film is evenly composed of the plot and the action. Thankfully, Cretton blends both those halves together as he imbues the setpieces with the qualities of the wuxia genre, taking after such films as Ang Lee's ""Crouching Tiger, Hidden Dragon"" (also starring Michelle Yeoh) and Zhang Yimou's ""House of Flying Daggers."" The action often tells as much of the story as the dialogue, particularly in the gracefully dazzling opening sequence. But there's also room for brutality as the first act ends with a tower-scaffolding brawl where Shang-Chi's emotions turn him into a raw killer. Not since ""Captain America: The Winter Soldier"" has the action been so impactful on a technical and emotional level.

When allowed to be its own film, ""Shang-Chi"" is quite the spectacle. But when it gets forcefully molded into a Marvel film, the results are less than stellar. Even after all his work with the story and action, Cretton can't break free from the third-act visual effects extravaganza that holds this franchise like an iron vice. It's a shame as the smaller familial moments do more for the mind and soul than the forgettable litany of explosions that encompass the final thirty minutes. Being that this is the 25th film in the franchise, I've come to expect that level of disappointment.

Thanks to its multi-talented cast and crew, ""Shang-Chi and the Legend of the Ten Rings"" is one of the better origin stories within the Marvel Cinematic Universe. The action may (rightfully) be the selling point, but the heart of the film lies within its characters, telling a familiar story on an impressive scale.",negative
115,"This was a good movie,

1. Even though my wife and I don't usually like this genre, we enjoyed this one.

2. Nora Lum stole the movie. Look for her in future films.

3. The prettiest actress in the film was Fela Chen, even though she played the mother. Also ;ook for her in future films.",negative
116,,positive
117,"The charm of this movie comes from the setting of the main characters, showing a reflection of today's world, where Asian culture and the way of life in the west creates an environment of searching for one's own identity and place - this is where we meet Shang-Chi (Simu Liu) first. A young adult trying to navigate through his life far away from his family in the city of San Francisco. His partner in crime is his best female friend Katy (Awkwafina).

Simu Liu's character arc in this film is not significant. Although he makes a solid protagonist, his own character development is de minimis. Awkwafina, by contrast, steals the film as the ordinary person caught up in the epic power struggle. Her trademark zingers and bemused quips make her the perfect foil against the escapist superhero world that she- and we as the audience- are thrust into. Mandarin (Tony Leung Chiu-wai) is a subtly effective Marvel villain with a compelling family backstory; he is a cinematic antagonist with the most idealism and righteous sense of purpose since Bill the Butcher in ""Gangs of New York"".

Michelle Yeoh as Shang-Chi's aunt Jiang Nan has again some great fighting scenes which stand up to her wonderful performance in ""Crouching Tiger, Hidden Dragon"". Overall this movie has great fighting scenes, extraordinary effects, especially the flying dragons which are delightful to watch. Highly recommended for everyone who likes superheroes and a touch of mysterious fairytales.",positive
118,"It's always fun to go to the theater for a new MCU production -- a chance to see something **new** that you know will be well produced and will keep on stretching their shared universe of superheros. With Shang-Chi it looks like their Phase 4 is well and truly launched, and you can already glimpse what Marvel Studios' overall approach is going to be. (More below.)

Just like Black Widow was Marvel's run at doing a James Bond-type film, Shang-Chi is their try at doing the Chinese martial arts thing. The result is a kind of compromise Westernized version that falls between two poles. For sure though, you'll be entertained. There's more than enough action, a lot of strikingly beautiful settings, and fun characters. But before I forget -- the mid-credits scene is one of the best they've ever done and totally worth staying for. (That's where the quote I put in the title above comes from -- a certain familiar character telling Shang-Chi to sure, come on in and join the craziness.) It does the usual thing of tossing the baton forward to whatever the next production will be, but it's stylistically so clever that it really stands out.

And the film itself: it fills up its 2:12 runtime with a whole lot of material and a lot of characters. Maybe too much. The third act in particular veers off onto a fantasy-type track that doesn't entirely fit well with the previous hour and a half of setup, and the scenes in that last section suddenly feel more rushed. Gone are the days of the first Iron Man or Thor or Ant-Man movies with their lean, linear storylines and single well defined themes. Instead, Marvel now seems to want to overstuff every one of their productions, even if they involve 'secondary' MCU characters, and turn them into epics. More and bigger is not always better, is it?

I did like the cast. Marvel always does an impressive job bringing in good people. Nice to see there are no less than 4 (!) major roles for females, as opposed to 2 for males, and they mix and match well. Of the mostly young cast though, I thought the older pair (Tony Leung, Michelle Yeoh) really stood out -- they effortlessly dominate the screen when they are on. Leung's character could have been a stock, one-dimensional scenery-chewing villain, but he's much more nuanced than that. Simu Liu (the lead role, Shang-Chi) is not exactly a great actor just yet, but he's athletic and cute and attractive with a sense of humor and for this role he doesn't need to be much more than that. Awkwafina, as Katy, does her usual turn with comic relief and side commentary with a dash of romance. As for Trevor Slattery (Ben Kingsley) -- that came out of nowhere and he's absolutely out of place, but somehow it works partly because of his pet that rises to Disney levels of cuteness.

About Phase 4. The first three cycles introduced and used particular major characters that were all required to fit under the Avengers umbrella. Now it's the post-Avengers era and from their scheduled series of releases up through 2023, we'll see a much more diverse slate of characters and stories that don't obviously fall under a single umbrella. If they do have a Master Plan for something equivalent to the Avengers, it's hard to see what it is. Maybe, they'll use this new freedom just to show us interesting stories in a bigger universe.",positive
119,,positive
120,,positive
121,"Unlogical story plot. Luckily actors performance and fight scene save the movie. Simu Liu and Akwafina were great and funny. Tony leung had to be rank top 3 bad guy in MCU with more story in it. Rip to action choreographer Brad Allan. Thanks to Brad Allan bringing hk Jackie Chan fighting style in this movie.

Bring back a lot of memories.",positive
122,"Marvel is back to its root with this one it is not perfect film but hell of lot more entertaing than black widow and far from home.

And their is big surprise in the film which i wont spoil but yeah watch it in the theaters or home but watch it nontheless because its great film. With heart and soul with it.",negative
123,"Usually, MCU movies are forgotten as soon as I exit the theater. This one is much more emotional and serious. Some flaws, but entertaining and engaging.",neutral
124,,positive
125,"The Cinema Was On Fire, I think It was Partly to do with Katy and Her Crazy Energy. And Also That Bus Fight Scene Was Incredible, it really got things going.

It's A Very Funny Movie too, Laughs Were Coming From The Audience Frequently. It Was Such a Great Time.

Good Story, Amazing Visuals, Good Comedy, Some Nice Fights.

Also The Ten Rings in Action Were Spectacular To Watch. The Ten Rings Are Brutal.

It's A Major World Event For the Official Start Of the New MCU (Black Widow is a Prequel).

Overall, As A Movie It is Probably An 8 Out Of 10 but Because of the Cinematic Experience, that Changes the Game Completely. It Was A Major Cinematic Experience. 10 Stars 🌟 For The Ten Rings 📀",positive
126,"Shang-Chi is a character I and many others, know very little about. Which in Marvels case offers up a clean slate to tell a fresh story. I'm happy to say they have delivered. Marvel's newest outing is a Kung-Fu superhero extravaganza, that is fully built on it's action and set pieces. The performances of Simu Liu and Tony Leung stand out amongst the pack and offer a great and rich story for Marvels Cinematic Universe. Though the film can at times feel bogged down by its origin story tropes, the direction of Destin Daniel Cretton, the overall charm of its cast, and story make the film feel fresh and lively. I'm happy to welcome this crew to the ever growing MCU and cannot wait to see what comes next. Hopefully more Shang-Chi!",positive
127,"Crouch, you tiger! Hide, you dragon! Wax on and wax off, and fight, fight, fight!

The title is as annoyingly long as the movie itself, which itself is an exercise in some ho-hum and perfunctory dotting of Is and crossing of Ts. As we wade into the shallow waters of whatever the next batch of uninspired Marvel movies present to our collective global faces, it becomes increasingly difficult to feel that old sense of joy and inspiration moviegoers used to call Movie Magic, maybe because everything is oh-so-magical all the time, a crisp and bloated 132 minutes worth.

It seems almost impossible to reveal any spoilers for a movie such as this, where the plot could fit on a business card printed in a large font, something like: ""Hero shows off, struggles midway, then overcomes substantial adversity to win once again."" Will there be any sequels? Will Shang-Chi become part of the greater Marvel Cashcowiverse? Will Disney buy up other intellectual properties and make more of the same type thing?

It should not feel like work when one goes to a show, and it is completely acceptable to check one's brain at the door, but these movies are becoming absolutely tedious, ponderous, even. Ponderous.",negative
128,Top 5 greatest marvel movies ever made. The choreography of the fights are beautiful. The cgi is beautiful the story is beautiful. Just watch it.,positive
129,"This is yet another film that I appreciate more than I actually like it. I'm really glad this movie exists and we have more diverse characters in the MCU. The Film nails Shang-Chi. Simu Liu gives a great performance and while his motivation isn't exactly clear, his character is and I like that. It's good to see that the origin movie does a great job at giving us a somewhat compelling character that I am looking forward to seeing more of. However, all of the other characters aren't anywhere close to being as good. The performances from most everyone is good with Tony Leung giving a great performance. His villain isn't great character wise but what I really adored was his villain's motivation. We finally get a true villain who is motivated by grief and the inability to accept the loss of a loved one. I love that about him and it's refreshing to see that. The story here is very weak. I didn't engage with it that much and it was hard to understand the motivations of anyone except the villain. The plot progresses quickly but it's hard to remember individual story beats because it kinda melds into some of the other MCU films. One thing that does stand out are the visuals and some of the action sequences. Some of the action sequences here were great like the final battle while others felt lackluster. It's a mixed bag in regards to that. As always, the visuals for this film are great for the most part. There is the occasional weird visual effect but it doesn't get absolutely horrible. The production design was surprisingly great here. All of the sets look really cool and it's obvious they spent a lot of time on that. There really isn't a lot more to say. On one hand, there are a lot if great things here but in the other, it feels like a standard Marvel movie. I would recommend checking it out if you are still into the MCU.",positive
130,"Effectively an origin story for Shang-Chi that marries the styles of superhero and martial art films wonderfully, and adds some much needed intrigue back into the Marvel Cinematic Universe (MCU).

I did legitimately enjoy the movie! It tries new things and is one of the more enjoyable MCU films. However, it did not quote tip the scale into becoming one of the best MCU movies in my opinion. At times, it felt a little too fantastical for my liking (especially the third act).

The story, visuals, and characters are all pretty great! But I find the film mostly suffered from an ending that could have been more grounded in reality than it was. I am happy though, to see Shang-Chi added into the MCU.",positive
